Frequency,Amplitude,95% CI
55,115,"1.473928002396284, 2.008154796878246"
55,110,"0.8573880720694008, 1.3385235026344884"
55,105,"0.05739640062737363, 0.5116856983652559"
55,100,"-0.18618362292523702, 0.18179032878340542"
55,95,"-0.1184828607978683, 0.10077856684786743"
55,90,"-0.10215328691028783, 0.030957263160200508"
70,90,"-0.049966512010400435, 0.16282547978757833"
70,95,"0.10112030610532674, 0.5025200837537513"
70,100,"0.6396918483607472, 1.1569442391301974"
70,105,"0.9661967540332859, 1.3928917693731726"
70,110,"1.1179341206539428, 1.5638890187535712"
70,115,"1.8900028048503628, 2.1918759632165714"
220,115,"-0.3091201025233691, 0.15582288511791353"
100,115,"1.5791101935402985, 2.302827515133097"
100,110,"1.4485516674130905, 1.7019289017339296"
100,105,"0.9358296019463845, 1.1719139570872423"
100,100,"0.2094575960941974, 0.45043140404561427"
100,95,"-0.009141868616374537, 0.13493631552086147"
220,125,"-0.04147955686419715, 0.3606773822706618"
220,120,"-0.056957364753192505, 0.2887685015845651"
220,115,"-0.3091201025233691, 0.15582288511791353"
220,110,"-0.30624392454778865, 0.08891680595246165"
220,105,"-0.1758918525548685, 0.054875412670052345"
